time,real_power
2024-01-01 00:00:00,30.00
2024-01-01 00:15:00,35.94
2024-01-01 00:30:00,45.44
2024-01-01 00:45:00,57.34
2024-01-01 01:00:00,61.44
2024-01-01 01:15:00,69.94
2024-01-01 01:30:00,73.74
2024-01-01 01:45:00,83.54
2024-01-01 02:00:00,84.54
2024-01-01 02:15:00,68.04
2024-01-01 02:30:00,48.64
2024-01-01 02:45:00,38.74
2024-01-01 03:00:00,32.64
2024-01-01 03:15:00,24.44
2024-01-01 03:30:00,22.84
2024-01-01 03:45:00,22.24
2024-01-01 04:00:00,19.94
2024-01-01 04:15:00,19.34
2024-01-01 04:30:00,28.34
2024-01-01 04:45:00,39.24
2024-01-01 05:00:00,40.94
2024-01-01 05:15:00,36.94
2024-01-01 05:30:00,31.74
2024-01-01 05:45:00,27.64
2024-01-01 06:00:00,22.14
2024-01-01 06:15:00,15.84
2024-01-01 06:30:00,11.24
2024-01-01 06:45:00,10.74
2024-01-01 07:00:00,9.64
2024-01-01 07:15:00,7.74
2024-01-01 07:30:00,8.44
2024-01-01 07:45:00,6.54
2024-01-01 08:00:00,4.14
2024-01-01 08:15:00,5.54
2024-01-01 08:30:00,6.74
2024-01-01 08:45:00,6.94
2024-01-01 09:00:00,5.84
2024-01-01 09:15:00,7.94
2024-01-01 09:30:00,9.54
2024-01-01 09:45:00,7.24
2024-01-01 10:00:00,7.64
2024-01-01 10:15:00,5.14
2024-01-01 10:30:00,8.04
2024-01-01 10:45:00,8.04
2024-01-01 11:00:00,6.54
2024-01-01 11:15:00,5.64
2024-01-01 11:30:00,4.14
2024-01-01 11:45:00,5.14
2024-01-01 12:00:00,9.74
2024-01-01 12:15:00,10.74
2024-01-01 12:30:00,10.44
2024-01-01 12:45:00,12.14
2024-01-01 13:00:00,13.14
2024-01-01 13:15:00,9.44
2024-01-01 13:30:00,6.44
2024-01-01 13:45:00,7.14
2024-01-01 14:00:00,7.54
2024-01-01 14:15:00,7.54
2024-01-01 14:30:00,3.44
